product_id,product_category,product_name,brand,package_quantity,package_unit,price,currency
P001,lactate,lapte zuzu,Zuzu,1,l,10.00,RON
P003,lactate,iaurt grecesc,Olympus,0.4,kg,11.70,RON
P006,ouă,ouă mărimea M,Ferma Veche,10,buc,13.60,RON
P009,lactate,brânză telemea,Hochland,0.3,kg,13.00,RON
P012,panificație,pâine albă,K-Classic,500,g,3.55,RON
P015,legume și fructe,roșii cherry,K-Bio,250,g,7.10,RON
P018,carne,piept pui,Agricola,1,kg,28.00,RON
P020,paste făinoase,spaghetti nr.5,Barilla,500,g,5.85,RON
P022,alimente de bază,zahăr tos,Mărgăritar,1,kg,4.45,RON
P025,băuturi,apă plată,Dorna,2,l,5.25,RON
P027,legume și fructe,banane,Generic,1,kg,6.25,RON
P029,alimente de bază,ulei floarea-soarelui,Floriol,1,l,9.60,RON
P032,gustări,biscuiți cu unt,Milka,0.2,kg,7.40,RON
P035,cafea,cafea măcinată,Jacobs,0.25,kg,23.10,RON
P038,produse de menaj,detergent lichid,Ariel,2.5,l,50.80,RON
P041,îngrijire personală,șampon păr gras,Elseve,400,ml,18.10,RON
P044,produse de menaj,hârtie igienică 3 straturi,Pufina,10,role,19.30,RON
P047,condimente,piper negru măcinat,Fuchs,50,g,6.15,RON
P050,băuturi,vin alb demisec,Recas,0.75,l,24.10,RON
P053,gustări,ciocolată neagră 70%,Heidi,100,g,4.15,RON
P056,legume și fructe,cartofi albi,Generic,1,kg,3.10,RON
P058,legume și fructe,ceapă galbenă,Generic,1,kg,2.95,RON
P059,legume și fructe,morcovi,Generic,0.5,kg,2.40,RON
P061,băuturi,suc portocale,Santorini,1,l,7.60,RON
P063,lactate,cașcaval,K-Classic,0.25,kg,14.80,RON
